id,start_time,origin,destination,kind
1121,1952,4,20,Human
1122,1953,16,117,Human
1123,1953,7,10,Human
1124,1954,138,2,Human
1125,1954,0,3,Human
1126,1955,7,9,Human
1127,1956,11,3,Human
1128,1956,16,10,Human
1129,1956,7,4,Human
1130,1958,4,20,Human
1131,1958,11,3,Human
1132,1960,11,51,Human
1133,1960,7,9,Human
1134,1962,139,10,Human
1135,1962,7,9,Human
1136,1965,17,22,Human
1137,1965,11,20,Human
1138,1966,17,3,Human
1139,1967,4,20,Human
1140,1968,17,5,Human
1141,1972,140,3,Human
1142,1976,0,118,Human
1143,1978,11,20,Human
1144,1979,4,20,Human
1145,1983,11,20,Human
1146,1986,11,20,Human
1147,1988,11,20,Human
1148,1990,11,20,Human
1149,1994,67,2,Human
1150,1997,16,109,Human
1151,1999,11,20,Human
1152,2007,141,20,Human
1153,2011,4,20,Human
1154,2013,16,30,Human
1155,2015,16,52,Human
1156,2019,7,10,Human
1157,2020,1,3,Human
1158,2022,142,9,Human
1159,2023,4,20,Human
1160,2023,7,9,Human
1161,2024,4,3,Human
1162,2025,1,1,Human
1163,2025,4,3,Human
1164,2028,7,9,Human
1165,2030,7,9,Human
1166,2031,98,20,Human
1167,2031,0,3,Human
1168,2032,7,9,Human
1169,2035,7,10,Human
1170,2035,8,9,Human
1171,2036,4,20,Human
1172,2037,7,10,Human
1173,2038,7,10,Human
1174,2040,27,2,Human
1175,2040,8,9,Human
1176,2040,7,9,Human
1177,2041,4,20,Human
1178,2041,8,9,Human
1179,2042,7,9,Human
1180,2042,16,9,Human
1181,2044,7,9,Human
1182,2045,7,9,Human
1183,2047,143,9,Human
1184,2048,4,20,Human
1185,2049,7,9,Human
1186,2051,11,2,Human
1187,2052,16,9,Human
1188,2052,4,20,Human
