id,q-table
738,0.00  0.00  -8.02
739,0.00  0.00  -9.87
740,0.00  -13.02  0.00
741,-15.41  0.00  0.00
742,0.00  -5.70  0.00
743,0.00  0.00  -17.81
744,0.00  -5.43  0.00
745,-10.59  0.00  0.00
746,0.00  -7.41  0.00
747,0.00  -7.84  0.00
748,0.00  -16.26  0.00
749,-18.70  0.00  0.00
750,-11.61  0.00  0.00
751,0.00  -10.76  0.00
752,0.00  0.00  -11.26
753,0.00  -9.62  0.00
754,-12.88  0.00  0.00
755,0.00  -6.64  0.00
756,0.00  -16.02  0.00
757,0.00  0.00  -8.09
758,0.00  -14.26  0.00
759,0.00  0.00  -8.63
760,-14.54  0.00  0.00
761,-16.53  0.00  0.00
762,0.00  -14.37  0.00
763,-17.18  0.00  0.00
764,-14.08  0.00  0.00
765,0.00  -18.04  0.00
766,0.00  -7.87  0.00
767,-14.60  0.00  0.00
768,-8.46  0.00  0.00
769,-7.03  0.00  0.00
770,0.00  0.00  -10.62
771,0.00  0.00  -8.82
772,-19.26  0.00  0.00
773,0.00  0.00  -17.61
774,0.00  -13.01  0.00
775,0.00  0.00  -9.95
776,0.00  -5.41  0.00
777,-12.70  0.00  0.00
778,-12.74  0.00  0.00
779,0.00  0.00  -14.66
780,0.00  -16.25  0.00
781,-10.38  0.00  0.00
782,0.00  -4.37  0.00
783,0.00  0.00  -11.19
784,0.00  0.00  -7.41
785,-9.63  0.00  0.00
786,0.00  0.00  -7.20
787,-11.63  0.00  0.00
788,0.00  0.00  -10.44
789,0.00  0.00  -11.51
790,0.00  -13.18  0.00
791,0.00  -19.57  0.00
792,0.00  0.00  -22.22
793,-8.00  0.00  0.00
794,0.00  0.00  -16.71
795,-6.19  0.00  0.00
796,-5.64  0.00  0.00
797,0.00  0.00  -19.68
798,-13.58  0.00  0.00
799,0.00  -14.93  0.00
800,0.00  0.00  -12.03
801,0.00  -12.40  0.00
802,0.00  -23.09  0.00
803,-14.54  0.00  0.00
804,-15.52  0.00  0.00
805,-13.26  0.00  0.00
806,-11.10  0.00  0.00
807,-7.43  0.00  0.00
808,-21.09  0.00  0.00
809,0.00  0.00  -19.99
810,-19.64  0.00  0.00
811,0.00  -11.64  0.00
812,0.00  -15.56  0.00
813,0.00  0.00  -9.82
814,-9.74  0.00  0.00
815,0.00  0.00  -22.19
816,0.00  -10.82  0.00
817,-19.20  0.00  0.00
818,0.00  -10.48  0.00
819,0.00  -14.95  0.00
820,0.00  0.00  -15.10
821,-10.92  0.00  0.00
822,-13.47  0.00  0.00
823,-16.56  0.00  0.00
824,0.00  -19.17  0.00
825,0.00  0.00  -9.76
826,0.00  -9.58  0.00
827,-7.03  0.00  0.00
828,0.00  0.00  -15.21
