id,action,origin,destination,start_time,epsilon
921,2,1,1,2760,0.82
922,0,0,0,2766,0.64
923,2,1,1,2766,0.87
924,2,0,0,2772,0.78
925,0,1,1,2772,0.76
926,0,0,0,2778,0.85
927,0,1,1,2778,0.72
928,1,0,0,2784,0.72
929,0,1,1,2784,0.73
930,0,0,0,2790,0.79
931,2,1,1,2790,0.86
932,2,0,0,2796,0.68
933,0,1,1,2796,0.62
934,2,0,0,2802,0.80
935,1,1,1,2802,0.87
936,2,0,0,2808,0.68
937,1,1,1,2808,0.87
938,1,0,0,2814,0.80
939,2,1,1,2814,0.77
940,0,0,0,2820,0.77
941,1,1,1,2820,0.78
942,0,0,0,2826,0.91
943,1,1,1,2826,0.85
944,0,0,0,2832,0.74
945,1,1,1,2832,0.69
946,1,0,0,2838,0.65
947,1,1,1,2838,0.63
948,0,0,0,2844,0.82
